City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Fort Collins,US,49.19,clear sky,40.5853,-105.0844,Best Western University Inn
464,Tallahassee,US,57.85,smoke,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
465,Bhubaneswar,IN,55.62,mist,20.2333,85.8333,Hotel Pushpak
471,Durres,AL,42.98,overcast clouds,41.3231,19.4414,Palace Hotel & Spa Durrës
472,Oxford,GB,49.91,scattered clouds,51.7522,-1.256,Malmaison Oxford
474,North Platte,US,52.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
486,Benghazi,LY,57.34,broken clouds,32.1167,20.0667,Tibesti Hotel
496,Newport,GB,52.09,broken clouds,51.5877,-2.9984,ibis budget Newport
501,North Bend,US,60.87,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
503,Barcelos,PT,47.28,clear sky,41.5388,-8.6151,Hotel Do Terço
514,Moussoro,TD,64.26,clear sky,13.6408,16.4901,Hôtel Salama
515,Namanyere,TZ,60.24,overcast clouds,-7.5167,31.05,Manyovu Lodge
522,Prince Rupert,CA,46.49,overcast clouds,54.3161,-130.3201,Crest Hotel
524,San Patricio,US,60.19,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
528,West Helena,US,46.08,broken clouds,34.5507,-90.6418,Best Western Inn
537,Bokajan,IN,51.08,clear sky,26.0167,93.7833,Priyanka Lodge
544,Wesselsbron,ZA,62.67,scattered clouds,-27.8549,26.3658,Wesselsbron Lodge
550,Brenes,ES,56.52,clear sky,37.5494,-5.8714,Hotel El Juncal
559,Anjar,IN,61.16,clear sky,23.1333,70.0167,Manav Residency
562,Cadiz,ES,54.82,clear sky,36.5,-5.75,Hacienda Barriche
564,Cortes,ES,44.65,clear sky,41.9395,-1.4396,Rincon de bu
565,Aswan,EG,51.1,clear sky,24.0934,32.907,Nuba Nile
569,Orbetello,IT,46.8,overcast clouds,42.4408,11.2196,Argentario Golf Resort & Spa
580,Kadhan,PK,61.25,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
585,Mehran,IR,44.08,broken clouds,33.1222,46.1646,بوتیک زنانه بهار
588,Bilma,NE,59.88,clear sky,18.6853,12.9164,Expeditions Ténére voyages
591,Arucas,ES,61.57,clear sky,28.1198,-15.5233,Hotel Melva Suite
601,Silver City,US,50.92,clear sky,32.7701,-108.2803,Copper Manor Motel
608,Dickinson,US,60.82,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
609,George,ZA,62.15,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
613,Butembo,CD,60.57,overcast clouds,0.15,29.2833,Hotel Butembo
615,Buraydah,SA,52.25,overcast clouds,26.326,43.975,فندق راحة السلام
618,Maralal,KE,60.87,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
621,Govindgarh,IN,49.62,clear sky,27.5,76.9833,Bana Ji Hotel & Restrorant
623,Faya,SA,51.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
624,Nettuno,IT,48.79,scattered clouds,41.4826,12.679,Astura Palace Hotel
627,Jaisalmer,IN,59.92,clear sky,26.9147,70.9181,Hotel Fifu
631,Varhaug,NO,43.86,light rain,58.6147,5.6457,Jonas Bue
634,Sedona,US,58.96,clear sky,34.8697,-111.761,Amara Resort and Spa
636,Talcahuano,CL,64.08,overcast clouds,-36.7167,-73.1167,departamento comodo
637,Canmore,CA,48.69,overcast clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
646,Northam,GB,51.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
648,White Rock,CA,50.09,few clouds,49.0164,-122.8026,Ocean Promenade Hotel
654,Racale,IT,45.84,overcast clouds,39.9631,18.0938,B&B Gallipoli Salento al mare
657,Abha,SA,51.62,clear sky,18.2164,42.5053,Abha Hotel
658,Arlit,NE,63.09,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
677,Jati,PK,61.54,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
680,Laela,TZ,59.43,overcast clouds,-8.5667,32.05,
